ajhmm
=========== Running FOLD 1 ==============
Relative Changes in Log Likelihood, Transition Matrix and Emission Matrix
   Iteration       Log Lik    Transition     Emmission
     109       5.20895e-07   8.67655e-05   0.000113248
     110       4.60989e-07   8.15393e-05   0.000106435
     111       4.07933e-07   7.66777e-05   0.000100032
     112       3.60951e-07   7.21531e-05   9.40147e-05
     113       3.19354e-07    6.7891e-05     8.836e-05
     114       2.82529e-07   6.38768e-05    8.3046e-05
     115       2.49932e-07   6.00966e-05   7.80522e-05
     116       2.21081e-07   5.65371e-05   7.33591e-05
     117       1.95549e-07   5.31858e-05   6.89488e-05
     118       1.72955e-07   5.00309e-05   6.48041e-05
     119       1.52964e-07   4.70612e-05   6.09091e-05
     120       1.35277e-07    4.4266e-05   5.72485e-05
     121       1.19629e-07   4.16352e-05   5.38084e-05
     122       1.05786e-07   3.91595e-05   5.05754e-05
     123       9.35419e-08   3.68298e-05    4.7537e-05
     124       8.27115e-08   3.46377e-05   4.46814e-05
     125       7.31325e-08   3.25751e-05   4.20019e-05
     126       6.46608e-08   3.06346e-05   3.94983e-05
     127       5.71687e-08    2.8809e-05    3.7143e-05
     128       5.05432e-08   2.70915e-05   3.49275e-05
     129       4.46843e-08   2.54759e-05   3.28435e-05
     130       3.95036e-08   2.39562e-05   3.08832e-05
     131       3.49227e-08   2.25267e-05   2.90395e-05
     132       3.08724e-08   2.11821e-05   2.73055e-05
     133       2.72912e-08   1.99175e-05   2.56746e-05
     134        2.4125e-08   1.87281e-05   2.41408e-05
     135       2.13258e-08   1.76094e-05   2.26983e-05
     136        1.8851e-08   1.65574e-05   2.13418e-05
     137       1.66631e-08    1.5568e-05   2.00661e-05
     138        1.4729e-08   1.46376e-05   1.88664e-05
     139       1.30191e-08   1.37626e-05   1.77383e-05
     140       1.15077e-08   1.29398e-05   1.66775e-05
     141       1.01715e-08   1.21661e-05   1.56801e-05
     142       8.99042e-09   1.14385e-05   1.47421e-05
     143       7.94638e-09   1.07544e-05   1.38602e-05
     144       7.02351e-09    1.0111e-05   1.30309e-05
     145       6.20776e-09   9.50615e-06   1.22512e-05
     146       5.48671e-09   8.93737e-06    1.1518e-05
     147       4.84937e-09   8.40258e-06   1.08287e-05
     148       4.28603e-09   7.89973e-06   1.01805e-05
     149       3.78811e-09   7.42694e-06   9.57113e-06
     150         3.348e-09    6.9824e-06   8.99817e-06
     151       2.95902e-09   6.56444e-06   8.45947e-06
     152       2.61521e-09   6.17147e-06   7.95299e-06
     153       2.31133e-09     5.802e-06    7.4768e-06
     154       2.04275e-09   5.45462e-06    7.0291e-06
     155       1.80537e-09   5.12802e-06   6.60818e-06
     156       1.59557e-09   4.82096e-06   6.21245e-06
     157       1.41014e-09   4.53227e-06    5.8404e-06
     158       1.24626e-09   4.26086e-06   5.49061e-06
     159       1.10142e-09   4.00568e-06   5.16176e-06
     160       9.73409e-10   3.76578e-06   4.85259e-06
     161       8.60273e-10   3.54023e-06   4.56193e-06
     162       7.60284e-10   3.32819e-06   4.28867e-06
     163       6.71916e-10   3.12883e-06   4.03177e-06
     164       5.93814e-10   2.94142e-06   3.79025e-06
     165       5.24791e-10   2.76522e-06   3.56319e-06
     166        4.6379e-10   2.59957e-06   3.34973e-06
     167       4.09879e-10   2.44384e-06   3.14905e-06
     168       3.62232e-10   2.29744e-06   2.96039e-06
     169       3.20125e-10    2.1598e-06   2.78303e-06
     170       2.82912e-10   2.03041e-06   2.61629e-06
     171       2.50023e-10   1.90876e-06   2.45954e-06
     172       2.20958e-10    1.7944e-06   2.31217e-06
     173       1.95271e-10   1.68689e-06   2.17363e-06
     174        1.7257e-10   1.58582e-06    2.0434e-06
     175       1.52509e-10    1.4908e-06   1.92096e-06
     176       1.34779e-10   1.40148e-06   1.80586e-06
     177        1.1911e-10    1.3175e-06   1.69765e-06
     178       1.05262e-10   1.23856e-06   1.59592e-06
     179       9.30239e-11   1.16435e-06   1.50029e-06
     180       8.22114e-11   1.09458e-06   1.41039e-06
     181        7.2651e-11   1.02899e-06   1.32588e-06
     182       6.42051e-11   9.67329e-07   1.24643e-06
     183       5.67414e-11   9.09364e-07   1.17174e-06
     184        5.0143e-11   8.54872e-07   1.10152e-06
     185       4.43146e-11   8.03644e-07   1.03551e-06
     186       3.91614e-11   7.55486e-07   9.73458e-07
Algorithm converged after 186 iterations.

estr =

    0.7436    0.2564
    0.2649    0.7351


esem =

    0.5831    0.2948    0.1221    0.0000    0.0000
    0.0000    0.0000    0.1704    0.2843    0.5453


s =

     1

Relative Changes in Log Likelihood, Transition Matrix and Emission Matrix
   Iteration       Log Lik    Transition     Emmission
       2        0.00254276   1.63152e-05   2.25186e-05
[Warning: Algorithm did not converge with tolerance 1e-06 in 2 iterations.] 
[> In <a href="matlab:matlab.internal.language.introspective.errorDocCallback('hmmtrain', 'C:\Program Files\MATLAB\R2015a\toolbox\stats\stats\hmmtrain.m', 297)" style="font-weight:bold">hmmtrain</a> (<a href="matlab: opentoline('C:\Program Files\MATLAB\R2015a\toolbox\stats\stats\hmmtrain.m',297,0)">line 297</a>)
  In <a href="matlab:matlab.internal.language.introspective.errorDocCallback('ajhmm', 'C:\Users\aj526\Downloads\ajhmm.m', 25)" style="font-weight:bold">ajhmm</a> (<a href="matlab: opentoline('C:\Users\aj526\Downloads\ajhmm.m',25,0)">line 25</a>)] 

ans =

    0.7402    0.2598
    0.2602    0.7398


s =

     2

Relative Changes in Log Likelihood, Transition Matrix and Emission Matrix
   Iteration       Log Lik    Transition     Emmission
       2       0.000822926   0.000741698   0.000671253
[Warning: Algorithm did not converge with tolerance 1e-06 in 2 iterations.] 
[> In <a href="matlab:matlab.internal.language.introspective.errorDocCallback('hmmtrain', 'C:\Program Files\MATLAB\R2015a\toolbox\stats\stats\hmmtrain.m', 297)" style="font-weight:bold">hmmtrain</a> (<a href="matlab: opentoline('C:\Program Files\MATLAB\R2015a\toolbox\stats\stats\hmmtrain.m',297,0)">line 297</a>)
  In <a href="matlab:matlab.internal.language.introspective.errorDocCallback('ajhmm', 'C:\Users\aj526\Downloads\ajhmm.m', 25)" style="font-weight:bold">ajhmm</a> (<a href="matlab: opentoline('C:\Users\aj526\Downloads\ajhmm.m',25,0)">line 25</a>)] 

ans =

    0.7182    0.2818
    0.2628    0.7372


s =

     3

Relative Changes in Log Likelihood, Transition Matrix and Emission Matrix
   Iteration       Log Lik    Transition     Emmission
       2        0.00259775   0.000577766    0.00051613
[Warning: Algorithm did not converge with tolerance 1e-06 in 2 iterations.] 
[> In <a href="matlab:matlab.internal.language.introspective.errorDocCallback('hmmtrain', 'C:\Program Files\MATLAB\R2015a\toolbox\stats\stats\hmmtrain.m', 297)" style="font-weight:bold">hmmtrain</a> (<a href="matlab: opentoline('C:\Program Files\MATLAB\R2015a\toolbox\stats\stats\hmmtrain.m',297,0)">line 297</a>)
  In <a href="matlab:matlab.internal.language.introspective.errorDocCallback('ajhmm', 'C:\Users\aj526\Downloads\ajhmm.m', 25)" style="font-weight:bold">ajhmm</a> (<a href="matlab: opentoline('C:\Users\aj526\Downloads\ajhmm.m',25,0)">line 25</a>)] 

ans =

    0.7307    0.2693
    0.2358    0.7642


s =

     4

Relative Changes in Log Likelihood, Transition Matrix and Emission Matrix
   Iteration       Log Lik    Transition     Emmission
       2        0.00501256     0.0032506    0.00371898
[Warning: Algorithm did not converge with tolerance 1e-06 in 2 iterations.] 
[> In <a href="matlab:matlab.internal.language.introspective.errorDocCallback('hmmtrain', 'C:\Program Files\MATLAB\R2015a\toolbox\stats\stats\hmmtrain.m', 297)" style="font-weight:bold">hmmtrain</a> (<a href="matlab: opentoline('C:\Program Files\MATLAB\R2015a\toolbox\stats\stats\hmmtrain.m',297,0)">line 297</a>)
  In <a href="matlab:matlab.internal.language.introspective.errorDocCallback('ajhmm', 'C:\Users\aj526\Downloads\ajhmm.m', 25)" style="font-weight:bold">ajhmm</a> (<a href="matlab: opentoline('C:\Users\aj526\Downloads\ajhmm.m',25,0)">line 25</a>)] 

ans =

    0.7771    0.2229
    0.2990    0.7010


s =

     5

Relative Changes in Log Likelihood, Transition Matrix and Emission Matrix
   Iteration       Log Lik    Transition     Emmission
       2        0.00416947   0.000579123    5.0009e-05
[Warning: Algorithm did not converge with tolerance 1e-06 in 2 iterations.] 
[> In <a href="matlab:matlab.internal.language.introspective.errorDocCallback('hmmtrain', 'C:\Program Files\MATLAB\R2015a\toolbox\stats\stats\hmmtrain.m', 297)" style="font-weight:bold">hmmtrain</a> (<a href="matlab: opentoline('C:\Program Files\MATLAB\R2015a\toolbox\stats\stats\hmmtrain.m',297,0)">line 297</a>)
  In <a href="matlab:matlab.internal.language.introspective.errorDocCallback('ajhmm', 'C:\Users\aj526\Downloads\ajhmm.m', 25)" style="font-weight:bold">ajhmm</a> (<a href="matlab: opentoline('C:\Users\aj526\Downloads\ajhmm.m',25,0)">line 25</a>)] 

ans =

    0.7054    0.2946
    0.2562    0.7438


s =

     6

Relative Changes in Log Likelihood, Transition Matrix and Emission Matrix
   Iteration       Log Lik    Transition     Emmission
       2        0.00360209    0.00136316    0.00142297
[Warning: Algorithm did not converge with tolerance 1e-06 in 2 iterations.] 
[> In <a href="matlab:matlab.internal.language.introspective.errorDocCallback('hmmtrain', 'C:\Program Files\MATLAB\R2015a\toolbox\stats\stats\hmmtrain.m', 297)" style="font-weight:bold">hmmtrain</a> (<a href="matlab: opentoline('C:\Program Files\MATLAB\R2015a\toolbox\stats\stats\hmmtrain.m',297,0)">line 297</a>)
  In <a href="matlab:matlab.internal.language.introspective.errorDocCallback('ajhmm', 'C:\Users\aj526\Downloads\ajhmm.m', 25)" style="font-weight:bold">ajhmm</a> (<a href="matlab: opentoline('C:\Users\aj526\Downloads\ajhmm.m',25,0)">line 25</a>)] 

ans =

    0.7505    0.2495
    0.2616    0.7384


s =

     7

Relative Changes in Log Likelihood, Transition Matrix and Emission Matrix
   Iteration       Log Lik    Transition     Emmission
       2        0.00261238    0.00131356    0.00134993
[Warning: Algorithm did not converge with tolerance 1e-06 in 2 iterations.] 
[> In <a href="matlab:matlab.internal.language.introspective.errorDocCallback('hmmtrain', 'C:\Program Files\MATLAB\R2015a\toolbox\stats\stats\hmmtrain.m', 297)" style="font-weight:bold">hmmtrain</a> (<a href="matlab: opentoline('C:\Program Files\MATLAB\R2015a\toolbox\stats\stats\hmmtrain.m',297,0)">line 297</a>)
  In <a href="matlab:matlab.internal.language.introspective.errorDocCallback('ajhmm', 'C:\Users\aj526\Downloads\ajhmm.m', 25)" style="font-weight:bold">ajhmm</a> (<a href="matlab: opentoline('C:\Users\aj526\Downloads\ajhmm.m',25,0)">line 25</a>)] 

ans =

    0.7220    0.2780
    0.2669    0.7331


s =

     8

Relative Changes in Log Likelihood, Transition Matrix and Emission Matrix
   Iteration       Log Lik    Transition     Emmission
       2        0.00518804    0.00158982    0.00167799
[Warning: Algorithm did not converge with tolerance 1e-06 in 2 iterations.] 
[> In <a href="matlab:matlab.internal.language.introspective.errorDocCallback('hmmtrain', 'C:\Program Files\MATLAB\R2015a\toolbox\stats\stats\hmmtrain.m', 297)" style="font-weight:bold">hmmtrain</a> (<a href="matlab: opentoline('C:\Program Files\MATLAB\R2015a\toolbox\stats\stats\hmmtrain.m',297,0)">line 297</a>)
  In <a href="matlab:matlab.internal.language.introspective.errorDocCallback('ajhmm', 'C:\Users\aj526\Downloads\ajhmm.m', 25)" style="font-weight:bold">ajhmm</a> (<a href="matlab: opentoline('C:\Users\aj526\Downloads\ajhmm.m',25,0)">line 25</a>)] 

ans =

    0.7439    0.2561
    0.2784    0.7216


s =

     9

Relative Changes in Log Likelihood, Transition Matrix and Emission Matrix
   Iteration       Log Lik    Transition     Emmission
       2        0.00131577   0.000733956   0.000728643
[Warning: Algorithm did not converge with tolerance 1e-06 in 2 iterations.] 
[> In <a href="matlab:matlab.internal.language.introspective.errorDocCallback('hmmtrain', 'C:\Program Files\MATLAB\R2015a\toolbox\stats\stats\hmmtrain.m', 297)" style="font-weight:bold">hmmtrain</a> (<a href="matlab: opentoline('C:\Program Files\MATLAB\R2015a\toolbox\stats\stats\hmmtrain.m',297,0)">line 297</a>)
  In <a href="matlab:matlab.internal.language.introspective.errorDocCallback('ajhmm', 'C:\Users\aj526\Downloads\ajhmm.m', 25)" style="font-weight:bold">ajhmm</a> (<a href="matlab: opentoline('C:\Users\aj526\Downloads\ajhmm.m',25,0)">line 25</a>)] 

ans =

    0.7213    0.2787
    0.2645    0.7355


s =

    10

Relative Changes in Log Likelihood, Transition Matrix and Emission Matrix
   Iteration       Log Lik    Transition     Emmission
       2        0.00514396   0.000601863   0.000463283
[Warning: Algorithm did not converge with tolerance 1e-06 in 2 iterations.] 
[> In <a href="matlab:matlab.internal.language.introspective.errorDocCallback('hmmtrain', 'C:\Program Files\MATLAB\R2015a\toolbox\stats\stats\hmmtrain.m', 297)" style="font-weight:bold">hmmtrain</a> (<a href="matlab: opentoline('C:\Program Files\MATLAB\R2015a\toolbox\stats\stats\hmmtrain.m',297,0)">line 297</a>)
  In <a href="matlab:matlab.internal.language.introspective.errorDocCallback('ajhmm', 'C:\Users\aj526\Downloads\ajhmm.m', 25)" style="font-weight:bold">ajhmm</a> (<a href="matlab: opentoline('C:\Users\aj526\Downloads\ajhmm.m',25,0)">line 25</a>)] 

ans =

    0.7096    0.2904
    0.2557    0.7443

=========== Running FOLD 2 ==============
Relative Changes in Log Likelihood, Transition Matrix and Emission Matrix
   Iteration       Log Lik    Transition     Emmission
       2         0.0271291   6.36691e-05    0.00104495
       3       1.47997e-05   0.000136766    0.00121709
       4       2.04046e-05   0.000229726    0.00144103
       5       3.00336e-05   0.000355614    0.00172764
       6       4.56184e-05   0.000532433    0.00209007
       7       7.03238e-05   0.000786099        0.0026
       8       0.000109206    0.00115441    0.00327651
       9        0.00017027    0.00169209    0.00412106
      10        0.00026612    0.00247639    0.00516939
      11       0.000416438    0.00361041    0.00645594
      12       0.000651429    0.00521739    0.00800303
      13        0.00101571    0.00740982     0.0097988
      14        0.00156999     0.0102072     0.0117598
      15        0.00238228     0.0133824     0.0136826
      16        0.00349236     0.0162929     0.0152194
      17         0.0048357     0.0179357      0.015952
      18        0.00616226     0.0175065     0.0156151
      19        0.00706474     0.0151141     0.0143447
      20        0.00718651     0.0116651     0.0126827
      21        0.00648344    0.00803999     0.0112427
      22        0.00530713    0.00478267     0.0103271
      23        0.00416386    0.00273149    0.00984685
      24         0.0033575    0.00295307    0.00951598
      25        0.00289143    0.00289009    0.00905972
      26        0.00261795    0.00261077    0.00832126
      27        0.00239228    0.00217134    0.00728583
      28        0.00213497    0.00164322    0.00605169
      29        0.00183163    0.00110612    0.00484634
      30        0.00150706   0.000626198     0.0037204
      31        0.00119615   0.000240753     0.0027584
      32       0.000924815   0.000185682     0.0020989
      33       0.000704258   0.000293399    0.00171205
      34       0.000533993   0.000382294    0.00141983
      35        0.00040729   0.000456368     0.0012058
      36       0.000315477   0.000519619    0.00105374
      37       0.000250303   0.000575788   0.000949714
      38       0.000204876    0.00062804   0.000882492
      39        0.00017382   0.000678788   0.000843377
      40       0.000153096    0.00072966   0.000825708
      41       0.000139731   0.000781575   0.000889129
      42       0.000131554   0.000834866    0.00097193
      43       0.000126982   0.000889392    0.00105604
      44       0.000124851   0.000944658    0.00114042
      45       0.000124299     0.0009999    0.00122385
      46       0.000124674    0.00105418    0.00130503
      47       0.000125482    0.00110643    0.00138255
      48       0.000126346    0.00115558    0.00145503
      49       0.000126978    0.00120056    0.00152112
      50       0.000127166    0.00124038     0.0015796
      51       0.000126763    0.00127421    0.00162944
      52       0.000125675    0.00130137    0.00166982
      53        0.00012386    0.00132141    0.00170022
      54        0.00012132    0.00133409    0.00172036
      55       0.000118089    0.00133937    0.00173027
      56       0.000114232    0.00133744    0.00173025
      57       0.000109834    0.00132864     0.0017208
      58       0.000104991    0.00131348    0.00170262
      59       9.98062e-05    0.00129255    0.00167655
      60        9.4382e-05    0.00126653    0.00164353
      61       8.88158e-05    0.00123612    0.00160453
      62       8.31963e-05    0.00120203    0.00156053
      63        7.7602e-05    0.00116496    0.00151248
      64       7.20997e-05    0.00112556    0.00146128
      65       6.67442e-05    0.00108444    0.00140776
      66       6.15792e-05    0.00104217    0.00135268
      67       5.66378e-05   0.000999215    0.00129669
      68       5.19439e-05   0.000956025     0.0012404
      69       4.75132e-05   0.000912966    0.00118428
      70       4.33543e-05   0.000870354    0.00112877
      71       3.94702e-05   0.000828451    0.00107421
      72       3.58592e-05   0.000787472    0.00102089
      73       3.25158e-05   0.000747588    0.00096902
      74       2.94317e-05   0.000708933    0.00091878
      75       2.65964e-05   0.000671606   0.000870295
      76       2.39977e-05   0.000635679   0.000823655
      77       2.16227e-05   0.000601198   0.000778916
      78       1.94576e-05   0.000568187   0.000736107
      79       1.74884e-05   0.000536654   0.000695232
      80       1.57013e-05   0.000506592    0.00065628
      81       1.40826e-05   0.000477983   0.000619222
      82        1.2619e-05   0.000450798   0.000584019
      83       1.12979e-05      0.000425   0.000550621
      84       1.01071e-05   0.000400548   0.000518971
      85       9.03533e-06   0.000377397   0.000489009
      86       8.07183e-06   0.000355497    0.00046067
      87       7.20667e-06   0.000334797   0.000433886
      88       6.43064e-06   0.000315246   0.000408589
      89       5.73522e-06   0.000296791    0.00038471
      90       5.11258e-06    0.00027938   0.000362182
      91       4.55556e-06   0.000262962   0.000340937
      92       4.05761e-06   0.000247486   0.000320911
      93       3.61276e-06   0.000232905   0.000302039
      94       3.21559e-06   0.000219169    0.00028426
      95        2.8612e-06   0.000206233   0.000267516
      96       2.54515e-06   0.000194054   0.000251748
      97       2.26341e-06   0.000182589   0.000236903
      98       2.01237e-06   0.000171798   0.000222929
      99       1.78878e-06   0.000161643   0.000209776
     100       1.58971e-06   0.000152087   0.000197397
     101       1.41253e-06   0.000143096   0.000185748
     102       1.25487e-06   0.000134706   0.000174787
     103       1.11464e-06   0.000127026   0.000164473
     104       9.89925e-07   0.000119771   0.000154951
     105       8.79048e-07   0.000112918   0.000146067
     106       7.80491e-07   0.000106446   0.000137679
     107       6.92904e-07   0.000100337   0.000129763
     108       6.15079e-07   9.45705e-05   0.000122292
     109       5.45941e-07   8.91285e-05   0.000115242
     110        4.8453e-07   8.39937e-05   0.000108592
     111        4.2999e-07   7.91495e-05    0.00010232
     112       3.81559e-07   7.45802e-05   9.64042e-05
     113       3.38558e-07   7.02707e-05   9.08259e-05
     114       3.00382e-07   6.62068e-05   8.55663e-05
     115       2.66495e-07   6.23749e-05   8.06076e-05
     116       2.36416e-07   5.87622e-05   7.59332e-05
     117       2.09721e-07   5.53564e-05   7.15272e-05
     118       1.86031e-07   5.21459e-05   6.73744e-05
     119       1.65009e-07   4.91199e-05   6.34607e-05
     120       1.46356e-07    4.6268e-05   5.97725e-05
     121       1.29807e-07   4.35803e-05   5.62971e-05
     122       1.15124e-07   4.10475e-05   5.30224e-05
     123       1.02098e-07   3.86608e-05    4.9937e-05
     124       9.05436e-08   3.64121e-05     4.703e-05
     125        8.0294e-08   3.42933e-05   4.42914e-05
     126       7.12027e-08   3.22971e-05   4.17114e-05
     127        6.3139e-08   3.04165e-05    3.9281e-05
     128       5.59871e-08   2.86448e-05   3.69916e-05
     129       4.96441e-08   2.69758e-05    3.4835e-05
     130       4.40188e-08   2.54037e-05   3.28037e-05
     131       3.90301e-08   2.39228e-05   3.08904e-05
     132       3.46061e-08   2.25279e-05   2.90884e-05
     133        3.0683e-08   2.12141e-05   2.73911e-05
     134       2.72042e-08   1.99766e-05   2.57926e-05
     135       2.41194e-08   1.88111e-05   2.42872e-05
     136       2.13841e-08   1.77134e-05   2.28693e-05
     137       1.89588e-08   1.66795e-05   2.15341e-05
     138       1.68083e-08   1.57059e-05   2.02766e-05
     139       1.49015e-08    1.4789e-05   1.90924e-05
     140       1.32109e-08   1.39254e-05   1.79773e-05
     141        1.1712e-08   1.31122e-05   1.69271e-05
     142       1.03831e-08   1.23464e-05   1.59382e-05
     143       9.20481e-09   1.16252e-05    1.5007e-05
     144       8.16019e-09   1.09461e-05   1.41301e-05
     145       7.23407e-09   1.03066e-05   1.33043e-05
     146         6.413e-09   9.70436e-06   1.25268e-05
     147       5.68508e-09   9.13728e-06   1.17947e-05
     148       5.03975e-09    8.6033e-06   1.11052e-05
     149       4.46765e-09   8.10049e-06   1.04561e-05
     150       3.96046e-09   7.62703e-06   9.84483e-06
     151       3.51084e-09   7.18121e-06   9.26928e-06
     152       3.11224e-09   6.76142e-06   8.72735e-06
     153       2.75888e-09   6.36615e-06   8.21707e-06
     154       2.44563e-09   5.99396e-06   7.73661e-06
     155       2.16794e-09   5.64351e-06   7.28422e-06
     156       1.92177e-09   5.31354e-06   6.85826e-06
     157       1.70355e-09   5.00285e-06    6.4572e-06
     158        1.5101e-09    4.7103e-06   6.07957e-06
     159       1.33861e-09   4.43486e-06   5.72402e-06
     160       1.18659e-09   4.17551e-06   5.38925e-06
     161       1.05184e-09   3.93132e-06   5.07405e-06
     162       9.32382e-10    3.7014e-06   4.77727e-06
     163       8.26493e-10   3.48492e-06   4.49785e-06
     164       7.32625e-10    3.2811e-06   4.23476e-06
     165       6.49417e-10   3.08919e-06   3.98705e-06
     166       5.75659e-10    2.9085e-06   3.75383e-06
     167       5.10277e-10   2.73837e-06   3.53425e-06
     168        4.5232e-10   2.57819e-06    3.3275e-06
     169       4.00943e-10   2.42738e-06   3.13285e-06
     170       3.55402e-10   2.28539e-06   2.94958e-06
     171       3.15034e-10    2.1517e-06   2.77703e-06
     172       2.79252e-10   2.02583e-06   2.61457e-06
     173       2.47532e-10   1.90732e-06   2.46161e-06
     174       2.19413e-10   1.79574e-06    2.3176e-06
     175       1.94492e-10   1.69068e-06   2.18201e-06
     176       1.72398e-10   1.59177e-06   2.05435e-06
     177       1.52815e-10   1.49865e-06   1.93416e-06
     178       1.35457e-10   1.41097e-06     1.821e-06
     179        1.2007e-10   1.32842e-06   1.71446e-06
     180        1.0643e-10    1.2507e-06   1.61415e-06
     181       9.43403e-11   1.17753e-06   1.51971e-06
     182       8.36233e-11   1.10864e-06    1.4308e-06
     183       7.41241e-11   1.04377e-06   1.34708e-06
     184       6.57034e-11   9.82705e-07   1.26826e-06
     185       5.82406e-11   9.25208e-07   1.19406e-06
     186        5.1623e-11   8.71075e-07   1.12419e-06
     187         4.576e-11   8.20109e-07   1.05842e-06
     188       4.05609e-11   7.72125e-07   9.96489e-07
Algorithm converged after 188 iterations.

estr =

    0.7417    0.2583
    0.2635    0.7365


esem =

    0.5868    0.2961    0.1170    0.0000    0.0000
    0.0000    0.0000    0.1761    0.2834    0.5405


s =

    11

Relative Changes in Log Likelihood, Transition Matrix and Emission Matrix
   Iteration       Log Lik    Transition     Emmission
       2         0.0016033    0.00129272    0.00165696
